id,title,location,link,date_posted,company,categories,key
2119850,"Senior Manager, Data Management Operations",,https://jobs.fidelity.com/en/jobs/2119850/senior-manager-data-management-operations/,,Fidelity,,"Senior Manager, Data Management Operations||https://jobs.fidelity.com/en/jobs/2119850/senior-manager-data-management-operations/||Fidelity"
2122192,"Analyst, ETF Trade Operations",,https://jobs.fidelity.com/en/jobs/2122192/analyst-etf-trade-operations/,,Fidelity,,"Analyst, ETF Trade Operations||https://jobs.fidelity.com/en/jobs/2122192/analyst-etf-trade-operations/||Fidelity"
2122770,"Analyst, Fidelity Consulting",,https://jobs.fidelity.com/en/jobs/2122770/analyst-fidelity-consulting/,,Fidelity,,"Analyst, Fidelity Consulting||https://jobs.fidelity.com/en/jobs/2122770/analyst-fidelity-consulting/||Fidelity"
2119227,Senior Technology Risk Analyst,,https://jobs.fidelity.com/en/jobs/2119227/senior-technology-risk-analyst/,,Fidelity,,Senior Technology Risk Analyst||https://jobs.fidelity.com/en/jobs/2119227/senior-technology-risk-analyst/||Fidelity
2121920,"Retirement Analyst, Fidelity Workplace Consulting",,https://jobs.fidelity.com/en/jobs/2121920/retirement-analyst-fidelity-workplace-consulting/,,Fidelity,,"Retirement Analyst, Fidelity Workplace Consulting||https://jobs.fidelity.com/en/jobs/2121920/retirement-analyst-fidelity-workplace-consulting/||Fidelity"
2121107,"Portfolio Analyst, Private Credit",,https://jobs.fidelity.com/en/jobs/2121107/portfolio-analyst-private-credit/,,Fidelity,,"Portfolio Analyst, Private Credit||https://jobs.fidelity.com/en/jobs/2121107/portfolio-analyst-private-credit/||Fidelity"
2120486,"Director, Dataset Onboarding",,https://jobs.fidelity.com/en/jobs/2120486/director-dataset-onboarding/,,Fidelity,,"Director, Dataset Onboarding||https://jobs.fidelity.com/en/jobs/2120486/director-dataset-onboarding/||Fidelity"
2122351,"Principal Business Analyst, Digital Solutions",,https://jobs.fidelity.com/en/jobs/2122351/principal-business-analyst-digital-solutions/,,Fidelity,,"Principal Business Analyst, Digital Solutions||https://jobs.fidelity.com/en/jobs/2122351/principal-business-analyst-digital-solutions/||Fidelity"
2118768,Transfer Agent Analyst,,https://jobs.fidelity.com/en/jobs/2118768/transfer-agent-analyst/,,Fidelity,,Transfer Agent Analyst||https://jobs.fidelity.com/en/jobs/2118768/transfer-agent-analyst/||Fidelity
2121868,"Data Consultant, Defined Benefit Project Manager",,https://jobs.fidelity.com/en/jobs/2121868/data-consultant-defined-benefit-project-manager/,,Fidelity,,"Data Consultant, Defined Benefit Project Manager||https://jobs.fidelity.com/en/jobs/2121868/data-consultant-defined-benefit-project-manager/||Fidelity"
2118868,"Business Analyst Consultant, FIA OCI/FIN Record Keeping Platform Team",,https://jobs.fidelity.com/en/jobs/2118868/business-analyst-consultant-fia-ocifin-record-keeping-platform-team/,,Fidelity,,"Business Analyst Consultant, FIA OCI/FIN Record Keeping Platform Team||https://jobs.fidelity.com/en/jobs/2118868/business-analyst-consultant-fia-ocifin-record-keeping-platform-team/||Fidelity"
2121229,"Vice President, New Business Development – Fidelity Charitable",,https://jobs.fidelity.com/en/jobs/2121229/vice-president-new-business-development-fidelity-charitable/,,Fidelity,,"Vice President, New Business Development – Fidelity Charitable||https://jobs.fidelity.com/en/jobs/2121229/vice-president-new-business-development-fidelity-charitable/||Fidelity"
2118118,"Manager, WI Quality Management Data Analytics",,https://jobs.fidelity.com/en/jobs/2118118/manager-wi-quality-management-data-analytics/,,Fidelity,,"Manager, WI Quality Management Data Analytics||https://jobs.fidelity.com/en/jobs/2118118/manager-wi-quality-management-data-analytics/||Fidelity"
2121263,Corporate Governance Analyst,,https://jobs.fidelity.com/en/jobs/2121263/corporate-governance-analyst/,,Fidelity,,Corporate Governance Analyst||https://jobs.fidelity.com/en/jobs/2121263/corporate-governance-analyst/||Fidelity
2120655,Principal Data Scientist,,https://jobs.fidelity.com/en/jobs/2120655/principal-data-scientist/,,Fidelity,,Principal Data Scientist||https://jobs.fidelity.com/en/jobs/2120655/principal-data-scientist/||Fidelity
2121013,Smart Contract Engineer/Data Science Associate,,https://jobs.fidelity.com/en/jobs/2121013/smart-contract-engineerdata-science-associate/,,Fidelity,,Smart Contract Engineer/Data Science Associate||https://jobs.fidelity.com/en/jobs/2121013/smart-contract-engineerdata-science-associate/||Fidelity
